date,total_clones,unique_clones
2022-10-19,9,6
2022-10-20,2,2
2022-10-21,1,1
2022-10-22,1,1
2022-10-23,1,1
2022-10-24,1,1
2022-10-25,2,2
2022-10-26,1,1
2022-10-27,1,1
2022-10-28,2,2
2022-10-29,2,2
2022-10-30,3,3
2022-10-31,1,1
2022-11-01,2,2
2022-11-02,1,1
2022-11-03,2,2
2022-11-04,1,1
2022-11-05,2,2
2022-11-06,1,1
2022-11-07,2,2
2022-11-08,1,1
2022-11-09,1,1
2022-11-10,2,2
2022-11-11,1,1
2022-11-12,1,1
2022-11-13,1,1
2022-11-14,1,1
2022-11-15,1,1
2022-11-16,1,1
2022-11-17,0,0
2022-11-18,1,1
2022-11-19,1,1
2022-11-20,1,1
2022-11-21,1,1
2022-11-22,1,1
2022-11-23,1,1
2022-11-24,1,1
2022-11-25,1,1
2022-11-26,0,0
2022-11-27,1,1
2022-11-28,0,0
2022-11-29,1,1
2022-11-30,1,1
2022-12-01,0,0
2022-12-02,1,1
2022-12-03,0,0
2022-12-04,1,1
2022-12-05,0,0
2022-12-06,1,1
2022-12-07,1,1
2022-12-08,1,1
2022-12-09,1,1
2022-12-10,1,1
2022-12-11,1,1
2022-12-12,0,0
2022-12-13,1,1
2022-12-14,1,1
2022-12-15,7,6
2022-12-16,2,1
2022-12-17,1,1
2022-12-18,1,1
2022-12-19,1,1
2022-12-20,1,1
2022-12-21,1,1
2022-12-22,2,1
2022-12-23,3,3
2022-12-24,1,1
2022-12-25,1,1
2022-12-26,1,1
2022-12-27,1,1
2022-12-28,2,1
2022-12-29,1,1
2022-12-30,1,1
2022-12-31,3,2
2023-01-01,3,2
2023-01-02,5,3
2023-01-03,12,7
2023-01-04,7,4
2023-01-05,3,2
2023-01-06,3,2
2023-01-07,4,2
2023-01-08,3,2
2023-01-09,3,2
2023-01-10,2,1
2023-01-11,5,3
2023-01-12,3,2
2023-01-13,0,0
